"국적명","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","한국어연수"
"가나","남(M)","0","6","18","8","0","0","5"
"가나","여(F)","0","2","7","0","0","1","1"
"가봉","남(M)","0","3","3","0","0","0","6"
"가봉","여(F)","0","3","1","1","0","0","0"
"가이아나","남(M)","0","0","0","0","0","0","0"
"가이아나","여(F)","0","0","0","0","0","0","0"
"감비아","남(M)","0","1","0","0","0","0","1"
"감비아","여(F)","0","0","0","0","0","0","0"
"과테말라","남(M)","0","10","17","2","0","0","3"
"과테말라","여(F)","0","6","9","2","0","0","3"
"교황청","남(M)","0","0","0","0","0","0","0"
"교황청","여(F)","0","0","0","0","0","0","0"
"국제연합","남(M)","0","0","0","0","0","0","0"
"국제연합","여(F)","0","0","0","0","0","0","0"
"그레나다","남(M)","0","0","0","0","0","0","0"
"그레나다","여(F)","0","0","0","0","0","0","0"
"그루지야","남(M)","0","0","0","1","0","0","1"
"그루지야","여(F)","0","1","2","0","0","1","0"
"그리스","남(M)","0","0","1","0","0","0","2"
"그리스","여(F)","0","0","0","0","0","0","1"
"기니","남(M)","1","0","0","2","0","0","0"
"기니","여(F)","0","1","1","0","0","0","0"
"기니비사우","남(M)","0","1","0","0","0","0","0"
"기니비사우","여(F)","0","1","0","0","0","0","1"
"나미비아","남(M)","0","0","0","0","0","0","0"
"나미비아","여(F)","0","0","0","0","0","0","0"
"나우루","남(M)","0","0","0","0","0","0","0"
"나우루","여(F)","0","0","0","0","0","0","0"
"나이지리아","남(M)","10","7","26","12","0","1","17"
"나이지리아","여(F)","0","2","4","3","0","0","3"
"남아프리카공화국","남(M)","0","2","2","1","0","0","1"
"남아프리카공화국","여(F)","0","1","5","0","0","0","1"
"네덜란드","남(M)","0","4","4","1","0","21","5"
"네덜란드","여(F)","0","2","1","0","0","5","0"
"네팔","남(M)","9","49","135","122","0","0","27"
"네팔","여(F)","2","14","35","23","0","0","14"
"노르웨이","남(M)","1","1","3","1","0","7","3"
"노르웨이","여(F)","0","1","0","0","0","1","3"
"뉴질랜드","남(M)","0","0","5","0","0","0","3"
"뉴질랜드","여(F)","0","1","2","0","0","0","2"
"니제르","남(M)","0","0","0","0","0","0","0"
"니제르","여(F)","0","0","0","0","0","0","0"
"니카라과","남(M)","0","0","0","0","0","0","0"
"니카라과","여(F)","0","0","2","0","0","0","0"
"덴마크","남(M)","1","1","0","0","0","7","0"
"덴마크","여(F)","0","1","0","0","0","2","0"
"도미니카공화국","남(M)","0","0","4","0","0","0","1"
"도미니카공화국","여(F)","0","0","4","0","0","0","1"
"도미니카연방","남(M)","0","0","0","0","0","0","0"
"도미니카연방","여(F)","0","0","0","0","0","0","0"
"독일","남(M)","15","17","19","8","1","94","7"
"독일","여(F)","4","11","14","1","0","60","9"
"동독","남(M)","0","0","0","0","0","0","0"
"동독","여(F)","0","0","0","0","0","0","0"
"라오스","남(M)","2","6","30","3","0","2","8"
"라오스","여(F)","1","5","8","0","0","4","7"
"라이베리아","남(M)","0","2","1","0","0","0","0"
"라이베리아","여(F)","0","0","0","0","0","0","1"
"라트비아","남(M)","0","0","0","0","0","0","0"
"라트비아","여(F)","0","0","0","0","0","0","0"
"러시아(연방)","남(M)","9","61","40","10","0","9","20"
"러시아(연방)","여(F)","37","117","83","12","0","47","87"
"레바논","남(M)","0","3","1","2","0","1","1"
"레바논","여(F)","0","0","0","0","0","0","0"
"레소토","남(M)","0","0","0","0","0","0","0"
"레소토","여(F)","0","0","0","0","0","0","1"
"루마니아","남(M)","0","3","3","2","0","1","3"
"루마니아","여(F)","1","8","6","2","0","1","2"
"룩셈부르크","남(M)","0","0","0","0","0","0","0"
"룩셈부르크","여(F)","0","0","0","0","0","0","0"
"르완다","남(M)","0","9","13","3","0","0","4"
"르완다","여(F)","0","5","5","0","0","0","3"
"리비아","남(M)","0","0","0","0","0","0","0"
"리비아","여(F)","0","0","0","0","0","0","0"
"리투아니아","남(M)","1","1","2","1","0","5","0"
"리투아니아","여(F)","0","1","2","2","0","7","1"
"마다가스카르","남(M)","0","0","0","0","0","0","0"
"마다가스카르","여(F)","0","1","0","0","0","0","0"
"마샬군도","남(M)","0","0","0","0","0","0","0"
"마샬군도","여(F)","0","0","0","0","0","0","0"
"마카오","남(M)","0","0","0","0","0","0","0"
"마카오","여(F)","0","1","0","0","0","1","4"
"마케도니아","남(M)","0","0","0","0","0","0","0"
"마케도니아","여(F)","0","0","0","0","0","1","0"
"말라위","남(M)","0","0","0","0","0","0","0"
"말라위","여(F)","0","0","1","0","0","0","0"
"말레이시아","남(M)","58","143","39","14","1","4","41"
"말레이시아","여(F)","41","116","67","18","0","12","43"
"말리","남(M)","0","0","0","0","0","0","1"
"말리","여(F)","0","0","0","0","0","0","0"
"멕시코","남(M)","2","8","14","1","1","7","7"
"멕시코","여(F)","3","9","12","0","0","4","11"
"모로코","남(M)","1","6","11","1","0","0","8"
"모로코","여(F)","0","3","3","0","0","1","5"
"모리셔스","남(M)","0","0","0","0","0","0","1"
"모리셔스","여(F)","0","0","1","1","0","0","0"
"모리타니","남(M)","0","1","1","1","0","0","1"
"모리타니","여(F)","0","0","0","0","0","0","0"
"모잠비크","남(M)","1","0","0","0","0","0","0"
"모잠비크","여(F)","0","1","1","0","0","0","0"
"몬테네그로","남(M)","0","0","0","0","0","0","0"
"몬테네그로","여(F)","0","0","0","0","0","0","0"
"몰도바","남(M)","1","0","0","0","0","0","1"
"몰도바","여(F)","0","0","1","0","0","0","1"
"몰디브","남(M)","0","0","0","0","0","0","0"
"몰디브","여(F)","0","0","0","0","0","0","0"
"몰타","남(M)","0","0","0","0","0","0","0"
"몰타","여(F)","0","0","0","0","0","0","0"
"몽골","남(M)","85","338","359","85","0","4","620"
"몽골","여(F)","113","524","1033","166","2","26","1050"
"무국적","남(M)","0","0","0","0","0","0","0"
"무국적","여(F)","0","1","0","0","0","0","0"
"미국","남(M)","21","247","115","12","4","109","63"
"미국","여(F)","20","141","44","10","1","134","45"
"미국인근섬","남(M)","0","0","0","0","0","0","0"
"미국인근섬","여(F)","0","0","0","0","0","0","0"
"미얀마","남(M)","0","13","33","18","0","1","32"
"미얀마","여(F)","0","31","58","11","0","1","37"
"미이크로네시아","남(M)","0","0","0","0","0","0","0"
"미이크로네시아","여(F)","0","0","0","0","0","0","0"
"바누아투","남(M)","0","0","0","0","0","1","0"
"바누아투","여(F)","0","0","0","0","0","0","0"
"바레인","남(M)","0","0","0","1","0","0","0"
"바레인","여(F)","0","0","0","0","0","0","0"
"바베이도스","남(M)","0","0","0","0","0","0","0"
"바베이도스","여(F)","0","0","0","0","0","0","1"
"바하마","남(M)","0","1","0","0","0","0","0"
"바하마","여(F)","0","0","0","0","0","0","0"
"방글라데시","남(M)","25","49","176","200","0","0","43"
"방글라데시","여(F)","1","1","34","40","0","0","9"
"버뮤다","남(M)","0","0","0","0","0","0","0"
"버뮤다","여(F)","0","0","0","0","0","0","0"
"베냉","남(M)","0","0","1","0","0","0","1"
"베냉","여(F)","0","0","0","0","0","0","0"
"베네수엘라","남(M)","0","2","0","0","0","0","1"
"베네수엘라","여(F)","0","0","1","0","0","1","0"
"베트남","남(M)","212","375","555","381","1","5","223"
"베트남","여(F)","147","441","389","106","0","21","177"
"벨기에","남(M)","1","0","1","1","0","4","3"
"벨기에","여(F)","0","0","0","0","0","1","4"
"벨로루시","남(M)","0","1","4","0","0","0","1"
"벨로루시","여(F)","0","1","3","0","0","0","2"
"벨리즈","남(M)","0","1","3","0","0","0","0"
"벨리즈","여(F)","0","0","0","1","0","0","0"
"보스니아-헤르체고비나","남(M)","0","0","0","0","0","1","1"
"보스니아-헤르체고비나","여(F)","0","0","0","0","0","0","0"
"보츠와나","남(M)","0","0","0","0","0","0","0"
"보츠와나","여(F)","0","0","0","0","0","0","0"
"볼리비아","남(M)","0","3","1","1","0","0","3"
"볼리비아","여(F)","0","2","0","0","0","0","0"
"부룬디","남(M)","0","1","6","0","0","0","0"
"부룬디","여(F)","0","2","0","0","0","0","0"
"부르키나파소","남(M)","0","0","0","0","0","0","0"
"부르키나파소","여(F)","0","0","0","0","0","0","0"
"부탄","남(M)","0","2","2","0","0","0","0"
"부탄","여(F)","0","4","1","0","0","0","0"
"불가리아","남(M)","0","4","1","1","0","0","4"
"불가리아","여(F)","0","7","6","2","0","1","3"
"불령가이아나","남(M)","0","0","0","0","0","0","0"
"불령가이아나","여(F)","0","0","0","0","0","0","0"
"브라질","남(M)","3","11","16","1","0","4","12"
"브라질","여(F)","1","11","8","1","0","2","8"
