"국적명","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"가나","남(M)","0","8","31","8","0","0","0","5"
"가나","여(F)","0","4","10","0","0","0","0","6"
"가봉","남(M)","0","3","2","0","0","0","0","8"
"가봉","여(F)","1","3","0","1","0","0","0","2"
"감비아","남(M)","0","1","0","0","0","0","0","1"
"감비아","여(F)","0","0","0","0","0","0","0","0"
"과테말라","남(M)","0","11","16","4","0","0","0","6"
"과테말라","여(F)","0","4","7","1","0","0","0","2"
"그루지야","남(M)","0","0","1","0","0","0","0","1"
"그루지야","여(F)","0","0","3","0","0","0","0","0"
"그리스","남(M)","0","0","3","0","0","0","0","2"
"그리스","여(F)","0","1","0","0","0","0","0","1"
"기니","남(M)","2","0","0","2","0","0","0","0"
"기니","여(F)","0","1","1","0","0","0","0","0"
"기니비사우","남(M)","0","1","0","0","0","0","0","0"
"기니비사우","여(F)","0","1","0","0","0","0","0","1"
"나이지리아","남(M)","12","15","28","14","0","0","0","44"
"나이지리아","여(F)","0","6","7","4","0","0","0","7"
"남아프리카공화국","남(M)","0","3","3","2","0","0","0","1"
"남아프리카공화국","여(F)","0","2","4","0","0","0","0","1"
"네덜란드","남(M)","0","16","4","1","1","2","25","9"
"네덜란드","여(F)","0","7","0","0","0","0","14","3"
"네팔","남(M)","7","51","157","119","1","0","1","42"
"네팔","여(F)","3","21","33","21","0","0","1","10"
"노르웨이","남(M)","0","0","1","1","0","1","12","0"
"노르웨이","여(F)","0","1","1","0","0","0","5","2"
"뉴질랜드","남(M)","0","1","8","0","0","0","1","5"
"뉴질랜드","여(F)","0","0","2","0","0","1","1","1"
"니제르","남(M)","0","0","1","0","0","0","0","0"
"니제르","여(F)","0","0","0","0","0","0","0","0"
"덴마크","남(M)","2","1","0","0","1","1","8","0"
"덴마크","여(F)","1","0","0","0","0","1","4","0"
"도미니카공화국","남(M)","0","0","1","1","0","0","0","1"
"도미니카공화국","여(F)","0","1","1","0","0","0","1","2"
"독일","남(M)","9","21","23","9","1","15","99","11"
"독일","여(F)","4","12","12","2","1","5","54","9"
"라오스","남(M)","1","4","33","5","0","2","2","13"
"라오스","여(F)","1","7","19","0","0","0","1","7"
"라이베리아","남(M)","0","3","1","0","0","0","0","7"
"라이베리아","여(F)","0","0","0","0","0","0","0","0"
"라트비아","남(M)","0","1","0","0","0","0","0","0"
"라트비아","여(F)","0","1","0","0","0","1","0","1"
"러시아(연방)","남(M)","14","49","36","8","0","1","10","25"
"러시아(연방)","여(F)","48","105","74","4","0","10","24","84"
"레바논","남(M)","0","4","0","2","0","0","1","0"
"레바논","여(F)","0","0","0","0","0","0","0","0"
"레소토","남(M)","0","0","0","0","0","0","0","0"
"레소토","여(F)","0","1","0","0","0","0","0","0"
"루마니아","남(M)","0","2","2","2","0","0","1","2"
"루마니아","여(F)","0","5","5","1","0","0","3","4"
"르완다","남(M)","0","10","26","2","0","0","0","3"
"르완다","여(F)","0","5","8","1","0","0","0","1"
"리비아","남(M)","0","0","0","0","0","0","0","0"
"리비아","여(F)","0","0","0","0","0","0","0","1"
"리투아니아","남(M)","0","5","1","0","0","1","2","0"
"리투아니아","여(F)","0","1","5","1","0","0","9","0"
"마다가스카르","남(M)","0","0","0","0","0","0","0","0"
"마다가스카르","여(F)","0","2","0","0","0","0","0","1"
"마카오","남(M)","0","0","0","0","0","0","0","0"
"마카오","여(F)","1","0","0","0","0","1","2","5"
"마케도니아","남(M)","0","0","0","0","0","0","0","0"
"마케도니아","여(F)","0","0","0","0","0","0","0","1"
"말라위","남(M)","0","0","3","0","0","0","0","0"
"말라위","여(F)","0","0","1","0","0","0","0","0"
"말레이시아","남(M)","59","140","39","14","1","0","9","11"
"말레이시아","여(F)","42","146","62","22","0","0","12","24"
"멕시코","남(M)","0","11","12","0","0","0","11","11"
"멕시코","여(F)","0","11","10","0","0","2","7","11"
"모로코","남(M)","3","6","7","1","0","1","5","10"
"모로코","여(F)","2","3","4","0","0","1","3","4"
"모리셔스","남(M)","0","1","0","0","0","0","0","0"
"모리셔스","여(F)","0","0","1","1","0","0","0","0"
"모리타니","남(M)","0","2","1","1","0","0","0","0"
"모리타니","여(F)","0","0","0","0","0","0","1","0"
"모잠비크","남(M)","0","1","0","0","0","0","0","0"
"모잠비크","여(F)","0","0","1","0","0","0","0","0"
"몰도바","남(M)","0","1","0","0","0","0","0","0"
"몰도바","여(F)","0","1","1","0","0","0","1","1"
"몰타","남(M)","0","0","0","0","0","0","0","0"
"몰타","여(F)","0","0","0","0","0","0","1","0"
"몽골","남(M)","82","372","420","94","1","0","2","773"
"몽골","여(F)","109","557","1201","172","1","2","11","1161"
"미국","남(M)","29","156","152","13","4","25","89","86"
"미국","여(F)","36","80","50","5","1","23","147","37"
"미얀마","남(M)","4","11","40","20","0","0","0","38"
"미얀마","여(F)","1","48","66","14","0","0","0","26"
"미이크로네시아","남(M)","0","0","1","0","0","0","0","0"
"미이크로네시아","여(F)","0","0","0","0","0","0","0","0"
"방글라데시","남(M)","26","45","195","201","0","0","0","41"
"방글라데시","여(F)","1","1","37","39","0","0","0","7"
"베냉","남(M)","0","0","3","0","0","0","0","0"
"베냉","여(F)","0","0","0","0","0","0","0","0"
"베네수엘라","남(M)","0","4","1","0","0","0","1","2"
"베네수엘라","여(F)","0","0","1","0","0","0","0","1"
"베트남","남(M)","185","339","611","378","2","0","2","235"
"베트남","여(F)","131","377","444","121","0","1","16","258"
"벨기에","남(M)","2","0","1","2","0","0","8","3"
"벨기에","여(F)","0","0","0","0","0","0","2","2"
"벨로루시","남(M)","1","0","2","1","0","0","2","2"
"벨로루시","여(F)","2","0","2","0","0","0","1","4"
"벨리즈","남(M)","0","1","1","1","0","0","0","1"
"벨리즈","여(F)","0","0","0","1","0","0","0","0"
"보츠와나","남(M)","0","0","1","0","0","0","0","0"
"보츠와나","여(F)","0","0","0","0","0","1","0","0"
"볼리비아","남(M)","0","4","2","0","0","0","0","0"
"볼리비아","여(F)","0","2","0","0","0","0","0","1"
"부룬디","남(M)","0","2","9","0","0","0","0","0"
"부룬디","여(F)","0","3","0","0","0","0","0","0"
"부탄","남(M)","0","2","1","0","0","0","0","1"
"부탄","여(F)","0","5","0","0","0","0","0","0"
"불가리아","남(M)","0","6","0","0","0","0","1","2"
"불가리아","여(F)","0","8","3","3","0","0","0","4"
"브라질","남(M)","0","10","11","0","0","1","1","14"
"브라질","여(F)","3","12","7","0","0","0","2","11"
"브루나이","남(M)","0","3","0","0","0","0","0","0"
"브루나이","여(F)","2","2","2","0","0","0","4","2"
"사우디아라비아","남(M)","10","95","3","4","0","0","0","60"
"사우디아라비아","여(F)","0","4","3","0","0","0","0","12"
"세네갈","남(M)","3","2","8","4","0","0","1","1"
"세네갈","여(F)","0","1","1","1","0","0","0","1"
"세르비아","남(M)","0","0","1","1","0","0","0","2"
"세르비아","여(F)","0","0","2","0","0","0","0","0"
"세르비아몬테네그로","남(M)","0","0","1","0","0","0","0","0"
"세르비아몬테네그로","여(F)","0","0","0","1","0","0","0","0"
"세인트빈센트그레나딘","남(M)","0","0","0","0","0","0","0","0"
"세인트빈센트그레나딘","여(F)","0","0","0","0","0","0","1","0"
"솔로몬군도","남(M)","0","0","1","0","0","0","0","0"
"솔로몬군도","여(F)","0","0","0","0","0","0","0","0"
"수단","남(M)","0","1","5","3","0","0","0","7"
"수단","여(F)","0","1","3","0","0","0","0","0"
"스리랑카","남(M)","3","13","26","10","0","0","0","38"
"스리랑카","여(F)","2","16","9","4","0","0","0","16"
"스와질란드","남(M)","0","0","0","0","0","0","0","0"
"스와질란드","여(F)","0","1","0","0","0","0","0","0"
"스웨덴","남(M)","1","19","3","0","0","2","22","16"
"스웨덴","여(F)","0","10","1","1","0","0","12","7"
"스위스","남(M)","0","4","1","0","0","1","5","2"
"스위스","여(F)","0","1","1","0","0","0","1","4"
"스페인","남(M)","0","22","2","1","0","0","24","12"
"스페인","여(F)","0","18","2","0","0","1","16","5"
"슬로바크","남(M)","4","0","3","1","0","0","0","4"
"슬로바크","여(F)","0","1","1","0","0","0","0","4"
"슬로베니아","남(M)","0","0","0","0","0","0","0","0"
"슬로베니아","여(F)","0","0","0","0","0","0","1","2"
"시리아","남(M)","0","0","2","1","0","0","0","1"
"시리아","여(F)","0","0","0","0","0","0","0","2"
"시에라리온","남(M)","0","0","5","0","0","0","0","0"
"시에라리온","여(F)","0","0","0","0","0","0","0","0"
"싱가포르","남(M)","17","3","3","0","0","2","16","5"
"싱가포르","여(F)","24","11","11","0","0","6","43","32"
"아랍에미리트연합","남(M)","6","13","1","0","0","0","0","2"
"아랍에미리트연합","여(F)","0","0","1","0","0","0","0","3"
"아르메니아","남(M)","0","0","1","0","0","0","0","2"
"아르메니아","여(F)","0","1","4","2","0","0","1","1"
"아르헨티나","남(M)","0","6","3","0","0","0","0","3"
"아르헨티나","여(F)","0","5","4","0","1","0","0","1"
"아이슬란드","남(M)","0","0","1","0","0","0","0","0"
"아이슬란드","여(F)","0","0","0","0","0","0","1","0"
"아이티","남(M)","0","2","1","0","0","0","0","0"
"아이티","여(F)","0","0","1","0","0","0","0","0"
"아일랜드","남(M)","0","0","3","0","0","0","1","3"
"아일랜드","여(F)","0","0","0","0","0","0","0","0"
"아제르바이잔","남(M)","1","37","11","0","0","0","1","4"
"아제르바이잔","여(F)","1","11","5","1","0","0","0","5"
"아프가니스탄","남(M)","1","14","7","1","0","0","0","3"
"아프가니스탄","여(F)","0","3","0","0","0","0","0","0"
"안도라","남(M)","0","0","0","0","0","0","0","0"
"안도라","여(F)","1","0","0","0","0","0","0","0"
"알바니아","남(M)","0","3","0","0","0","0","0","1"
"알바니아","여(F)","0","0","0","0","0","0","0","2"
"알제리","남(M)","2","1","5","3","0","0","0","4"
"알제리","여(F)","2","0","4","3","0","1","0","1"
"앙골라","남(M)","0","10","2","0","0","0","0","9"
"앙골라","여(F)","0","2","0","0","0","0","0","5"
"에스토니아","남(M)","0","0","0","0","0","0","0","0"
"에스토니아","여(F)","0","1","0","0","0","0","1","1"
"에콰도르","남(M)","0","1","2","0","0","0","2","3"
