"국적","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"가나","남(M)","0","10","36","8","0","0","0","8"
"가나","여(F)","0","8","13","1","0","0","0","4"
"가봉","남(M)","0","5","2","2","0","0","0","3"
"가봉","여(F)","0","4","0","1","0","0","0","3"
"감비아","남(M)","1","1","0","0","0","0","0","0"
"감비아","여(F)","0","0","0","0","0","0","0","0"
"과테말라","남(M)","0","11","17","6","0","0","0","3"
"과테말라","여(F)","0","4","11","3","0","0","0","3"
"그루지야","남(M)","0","0","2","0","0","0","0","1"
"그루지야","여(F)","0","2","2","0","0","0","0","2"
"그리스","남(M)","0","0","1","0","0","0","0","1"
"그리스","여(F)","0","0","0","0","0","1","0","4"
"기니","남(M)","1","0","0","1","0","0","0","1"
"기니","여(F)","0","1","1","0","0","1","0","0"
"기니비사우","남(M)","0","1","1","0","0","0","0","0"
"기니비사우","여(F)","0","1","0","0","0","0","0","0"
"나이지리아","남(M)","10","22","35","21","1","0","0","38"
"나이지리아","여(F)","0","9","7","2","0","1","0","7"
"남수단공화국","남(M)","0","1","1","0","0","0","0","0"
"남수단공화국","여(F)","0","0","0","0","0","0","0","0"
"남아프리카공화국","남(M)","0","2","7","3","0","2","0","5"
"남아프리카공화국","여(F)","0","2","7","1","0","0","0","0"
"네덜란드","남(M)","0","21","7","1","0","26","0","5"
"네덜란드","여(F)","0","12","3","0","0","16","0","6"
"네팔","남(M)","9","52","172","114","3","3","0","79"
"네팔","여(F)","4","19","41","25","0","0","0","41"
"노르웨이","남(M)","0","1","2","1","0","22","0","2"
"노르웨이","여(F)","0","2","2","0","0","8","0","6"
"뉴질랜드","남(M)","0","3","6","0","0","2","0","4"
"뉴질랜드","여(F)","0","0","1","0","0","1","0","1"
"니제르","남(M)","0","0","1","0","0","0","0","0"
"니제르","여(F)","0","0","0","0","0","0","0","0"
"니카라과","남(M)","0","0","1","0","0","0","0","0"
"니카라과","여(F)","0","0","1","0","0","0","0","0"
"덴마크","남(M)","0","0","2","0","0","11","0","0"
"덴마크","여(F)","0","0","0","0","0","11","0","0"
"도미니카공화국","남(M)","0","0","1","1","0","0","0","1"
"도미니카공화국","여(F)","1","3","0","0","0","0","0","3"
"독일","남(M)","2","9","26","8","0","173","1","14"
"독일","여(F)","3","5","6","2","3","119","1","14"
"라오스","남(M)","0","3","31","8","1","7","0","11"
"라오스","여(F)","1","8","23","1","1","5","0","2"
"라이베리아","남(M)","0","3","2","0","0","0","0","2"
"라이베리아","여(F)","0","0","0","0","0","0","0","0"
"라트비아","남(M)","0","0","0","0","0","0","0","0"
"라트비아","여(F)","0","3","0","0","0","2","0","1"
"러시아(연방)","남(M)","4","36","28","7","0","30","0","19"
"러시아(연방)","여(F)","12","64","67","5","0","74","2","131"
"레바논","남(M)","0","4","1","1","0","0","0","1"
"레바논","여(F)","0","0","0","0","0","0","0","0"
"레소토","남(M)","0","0","0","0","0","0","0","0"
"레소토","여(F)","0","1","0","0","0","0","0","0"
"루마니아","남(M)","0","3","2","2","0","3","0","2"
"루마니아","여(F)","0","6","6","2","0","6","0","6"
"룩셈부르크","남(M)","0","0","0","0","0","0","0","0"
"룩셈부르크","여(F)","0","0","0","0","0","0","0","1"
"르완다","남(M)","0","11","22","4","0","0","0","1"
"르완다","여(F)","0","6","3","1","0","0","0","4"
"리비아","남(M)","0","0","0","0","0","0","0","1"
"리비아","여(F)","0","0","0","0","0","0","0","1"
"리투아니아","남(M)","0","3","0","0","0","3","0","1"
"리투아니아","여(F)","0","2","5","1","1","9","0","0"
"마다가스카르","남(M)","1","0","0","0","0","0","0","0"
"마다가스카르","여(F)","0","3","0","0","0","0","0","0"
"마카오","남(M)","0","0","0","0","0","0","0","0"
"마카오","여(F)","0","3","1","0","0","5","0","8"
"말라위","남(M)","0","2","5","0","0","0","0","1"
"말라위","여(F)","0","0","1","1","0","0","0","0"
"말레이시아","남(M)","31","125","37","15","0","21","1","66"
"말레이시아","여(F)","12","138","51","30","1","42","0","63"
"멕시코","남(M)","0","5","11","2","0","16","0","11"
"멕시코","여(F)","0","8","11","3","0","21","0","6"
"모로코","남(M)","0","7","8","1","0","2","0","6"
"모로코","여(F)","0","2","8","0","0","10","0","4"
"모리셔스","남(M)","0","1","0","0","0","0","0","0"
"모리셔스","여(F)","0","0","1","1","0","0","0","0"
"모리타니","남(M)","0","2","0","1","0","0","0","0"
"모리타니","여(F)","0","0","0","0","0","0","0","0"
"모잠비크","남(M)","0","1","1","0","0","0","0","1"
"모잠비크","여(F)","0","0","3","0","0","0","0","1"
"몰도바","남(M)","0","2","0","0","0","0","0","0"
"몰도바","여(F)","0","0","2","0","0","2","0","2"
"몰디브","남(M)","0","0","1","0","0","0","0","0"
"몰디브","여(F)","0","0","0","0","0","0","0","0"
"몽골","남(M)","75","376","416","88","1","23","0","781"
"몽골","여(F)","98","576","1141","181","1","56","1","1138"
"미국","남(M)","14","104","174","17","1","150","0","88"
"미국","여(F)","7","50","50","5","0","250","1","45"
"미얀마","남(M)","3","10","51","23","0","2","0","34"
"미얀마","여(F)","4","49","53","20","1","2","0","19"
"방글라데시","남(M)","17","56","179","199","0","0","0","33"
"방글라데시","여(F)","1","0","33","37","0","0","0","7"
"베냉","남(M)","0","0","2","0","0","0","0","1"
"베냉","여(F)","0","0","0","0","0","0","0","0"
"베네수엘라","남(M)","0","4","2","0","0","0","0","2"
"베네수엘라","여(F)","0","2","0","0","0","0","0","3"
"베트남","남(M)","156","324","613","362","0","10","0","330"
"베트남","여(F)","102","362","450","127","0","66","0","359"
"벨기에","남(M)","0","0","1","2","1","7","0","1"
"벨기에","여(F)","0","0","1","0","0","5","0","4"
"벨로루시","남(M)","0","0","3","1","0","2","0","3"
"벨로루시","여(F)","0","0","2","1","0","3","0","1"
"벨리즈","남(M)","0","0","2","1","0","0","0","1"
"벨리즈","여(F)","0","0","1","1","0","0","0","1"
"볼리비아","남(M)","1","4","1","0","0","1","0","2"
"볼리비아","여(F)","0","3","1","0","0","0","0","2"
"부룬디","남(M)","0","2","6","1","0","1","0","0"
"부룬디","여(F)","0","3","2","0","0","0","0","1"
"부탄","남(M)","0","3","2","0","0","0","0","2"
"부탄","여(F)","0","4","1","0","0","0","0","3"
"불가리아","남(M)","1","6","0","0","0","1","0","1"
"불가리아","여(F)","0","10","5","2","0","2","0","5"
"브라질","남(M)","0","13","4","0","0","60","0","14"
"브라질","여(F)","0","7","3","0","3","33","0","13"
"브루나이","남(M)","0","3","0","0","0","8","0","1"
"브루나이","여(F)","0","3","2","1","0","16","0","2"
"사우디아라비아","남(M)","5","110","9","4","0","3","0","134"
"사우디아라비아","여(F)","0","2","5","0","0","0","0","29"
"세네갈","남(M)","3","2","7","2","0","0","0","3"
"세네갈","여(F)","0","2","0","1","0","0","0","0"
"세르비아","남(M)","0","0","1","1","0","1","0","0"
"세르비아","여(F)","0","0","2","0","0","0","0","1"
"소말리아","남(M)","0","0","0","0","0","0","0","0"
"소말리아","여(F)","0","0","0","0","0","0","0","1"
"솔로몬군도","남(M)","1","0","1","0","0","0","0","0"
"솔로몬군도","여(F)","1","0","1","0","0","0","0","0"
"수단","남(M)","0","4","7","6","0","0","0","4"
"수단","여(F)","0","0","1","0","0","0","0","0"
"스리랑카","남(M)","3","11","37","15","0","0","0","48"
"스리랑카","여(F)","1","17","18","6","0","0","0","18"
"스와질란드","남(M)","0","0","0","0","0","0","0","1"
"스와질란드","여(F)","0","1","0","0","0","0","0","0"
"스웨덴","남(M)","0","16","4","0","0","22","0","16"
"스웨덴","여(F)","0","7","2","1","0","21","0","19"
"스위스","남(M)","0","2","4","1","1","10","0","5"
"스위스","여(F)","0","1","2","0","1","4","0","4"
"스페인","남(M)","0","3","3","1","0","61","0","17"
"스페인","여(F)","0","3","4","0","1","33","0","10"
"슬로바크","남(M)","3","1","4","1","0","1","0","1"
"슬로바크","여(F)","2","1","1","1","0","5","0","0"
"슬로베니아","남(M)","0","0","0","0","0","1","0","0"
"슬로베니아","여(F)","0","0","1","0","0","1","0","1"
"시리아","남(M)","0","0","1","2","0","0","0","0"
"시리아","여(F)","0","0","0","0","0","0","0","1"
"시에라리온","남(M)","0","0","4","0","0","0","0","0"
"시에라리온","여(F)","0","0","0","0","0","0","0","1"
"싱가포르","남(M)","1","4","4","0","0","80","0","7"
"싱가포르","여(F)","0","17","12","0","1","87","0","43"
"아랍에미리트연합","남(M)","2","17","2","0","0","0","0","21"
"아랍에미리트연합","여(F)","0","1","2","0","0","1","0","2"
"아르메니아","남(M)","0","0","1","0","0","0","0","2"
"아르메니아","여(F)","0","0","4","2","0","1","0","2"
"아르헨티나","남(M)","0","6","1","0","0","2","0","3"
"아르헨티나","여(F)","0","4","1","0","0","1","0","1"
"아이슬란드","남(M)","0","0","1","0","0","2","0","0"
"아이슬란드","여(F)","0","0","0","0","0","1","0","0"
"아이티","남(M)","0","1","3","0","0","0","0","0"
"아이티","여(F)","0","0","1","0","0","0","0","0"
"아일랜드","남(M)","0","1","3","0","0","0","0","1"
"아일랜드","여(F)","0","0","0","0","0","0","0","2"
"아제르바이잔","남(M)","0","36","7","3","0","1","0","6"
"아제르바이잔","여(F)","0","8","6","1","0","1","0","3"
"아프가니스탄","남(M)","1","15","13","0","0","1","0","2"
"아프가니스탄","여(F)","0","3","0","0","0","0","0","0"
"알바니아","남(M)","0","1","0","0","0","0","0","0"
"알바니아","여(F)","0","0","1","0","0","0","0","1"
"알제리","남(M)","1","2","7","5","0","0","0","2"
"알제리","여(F)","0","0","1","2","0","0","0","3"
"앙골라","남(M)","0","9","1","0","0","0","0","11"
"앙골라","여(F)","0","3","1","0","0","0","0","6"
"앤티카바부다","남(M)","0","0","0","0","0","0","0","0"
"앤티카바부다","여(F)","0","0","1","0","0","0","0","0"
"에리트레아","남(M)","0","0","1","0","0","0","0","0"
"에리트레아","여(F)","0","0","0","0","0","0","0","0"
"에스토니아","남(M)","0","0","0","0","0","0","0","0"
"에스토니아","여(F)","0","0","0","0","0","3","0","1"
"에콰도르","남(M)","0","0","3","0","0","0","0","3"
"에콰도르","여(F)","0","2","3","0","0","1","0","3"
"에티오피아","남(M)","3","6","59","17","0","0","0","19"
