"국적","성별","유학","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"가나","남(M)","92","0","15","63","11","0","3","0","13"
"가나","여(F)","24","0","9","12","2","0","1","0","6"
"가봉","남(M)","12","0","5","4","3","0","0","0","5"
"가봉","여(F)","5","0","2","2","1","0","0","0","2"
"감비아","남(M)","1","1","0","0","0","0","0","0","1"
"감비아","여(F)","0","0","0","0","0","0","0","0","0"
"과테말라","남(M)","34","0","9","19","6","0","0","0","3"
"과테말라","여(F)","17","0","4","11","2","0","0","0","4"
"그루지야","남(M)","3","0","0","3","0","0","0","0","2"
"그루지야","여(F)","4","0","0","3","0","0","1","0","1"
"그리스","남(M)","1","0","0","1","0","0","0","0","1"
"그리스","여(F)","2","0","0","1","0","0","1","0","4"
"기니","남(M)","1","0","0","1","0","0","0","0","4"
"기니","여(F)","2","0","0","1","0","0","1","0","1"
"기니비사우","남(M)","2","0","1","1","0","0","0","0","0"
"기니비사우","여(F)","1","0","1","0","0","0","0","0","0"
"나이지리아","남(M)","95","4","19","48","24","0","0","0","42"
"나이지리아","여(F)","23","0","11","11","1","0","0","0","8"
"남수단공화국","남(M)","2","0","1","1","0","0","0","0","0"
"남수단공화국","여(F)","0","0","0","0","0","0","0","0","0"
"남아프리카공화국","남(M)","13","0","2","8","3","0","0","0","1"
"남아프리카공화국","여(F)","8","0","2","5","0","0","1","0","1"
"네덜란드","남(M)","63","0","2","5","2","1","53","0","7"
"네덜란드","여(F)","49","0","1","4","0","0","44","0","3"
"네팔","남(M)","354","6","40","182","124","1","1","0","91"
"네팔","여(F)","95","3","22","49","21","0","0","0","41"
"노르웨이","남(M)","19","0","0","2","0","0","17","0","5"
"노르웨이","여(F)","17","0","2","1","0","0","14","0","9"
"뉴질랜드","남(M)","2","0","1","1","0","0","0","0","1"
"뉴질랜드","여(F)","4","0","0","1","0","0","3","0","3"
"니제르","남(M)","1","0","0","1","0","0","0","0","0"
"니제르","여(F)","0","0","0","0","0","0","0","0","0"
"니카라과","남(M)","1","0","0","1","0","0","0","0","0"
"니카라과","여(F)","3","0","0","3","0","0","0","0","0"
"덴마크","남(M)","18","0","0","4","0","0","14","0","1"
"덴마크","여(F)","11","0","1","0","0","0","10","0","2"
"도미니카공화국","남(M)","4","0","0","2","2","0","0","0","2"
"도미니카공화국","여(F)","8","0","4","3","0","0","1","0","4"
"독일","남(M)","243","0","6","32","10","0","194","1","8"
"독일","여(F)","182","0","4","10","2","0","166","0","14"
"라오스","남(M)","40","0","6","23","9","0","2","0","12"
"라오스","여(F)","31","0","9","18","1","1","2","0","5"
"라이베리아","남(M)","6","0","3","2","1","0","0","0","2"
"라이베리아","여(F)","0","0","0","0","0","0","0","0","1"
"라트비아","남(M)","2","0","0","0","0","0","2","0","0"
"라트비아","여(F)","1","0","0","0","0","0","1","0","0"
"러시아(연방)","남(M)","97","5","34","26","5","0","27","0","27"
"러시아(연방)","여(F)","279","27","77","78","7","3","87","0","190"
"레바논","남(M)","7","0","3","2","1","0","1","0","2"
"레바논","여(F)","0","0","0","0","0","0","0","0","1"
"레소토","남(M)","1","0","0","1","0","0","0","0","0"
"레소토","여(F)","0","0","0","0","0","0","0","0","0"
"루마니아","남(M)","11","0","3","6","1","0","1","0","0"
"루마니아","여(F)","17","0","4","6","2","0","5","0","13"
"르완다","남(M)","42","0","11","27","4","0","0","0","10"
"르완다","여(F)","21","0","9","10","2","0","0","0","3"
"리비아","남(M)","1","0","0","0","1","0","0","0","4"
"리비아","여(F)","1","0","1","0","0","0","0","0","0"
"리투아니아","남(M)","8","0","3","1","0","0","4","0","1"
"리투아니아","여(F)","16","0","2","2","2","0","10","0","1"
"마다가스카르","남(M)","2","0","0","0","0","0","2","0","0"
"마다가스카르","여(F)","3","0","2","1","0","0","0","0","0"
"마샬군도","남(M)","0","0","0","0","0","0","0","0","0"
"마샬군도","여(F)","0","0","0","0","0","0","0","0","0"
"마카오","남(M)","0","0","0","0","0","0","0","0","0"
"마카오","여(F)","10","0","5","3","0","0","2","0","13"
"마케도니아","남(M)","0","0","0","0","0","0","0","0","0"
"마케도니아","여(F)","1","0","0","0","0","0","1","0","0"
"말라위","남(M)","13","0","2","11","0","0","0","0","2"
"말라위","여(F)","2","0","1","0","1","0","0","0","1"
"말레이시아","남(M)","268","26","149","42","21","0","30","0","68"
"말레이시아","여(F)","276","8","140","48","32","0","48","0","102"
"말리","남(M)","0","0","0","0","0","0","0","0","3"
"말리","여(F)","0","0","0","0","0","0","0","0","0"
"멕시코","남(M)","42","0","4","16","2","0","20","0","10"
"멕시코","여(F)","44","0","10","11","1","0","22","0","17"
"모로코","남(M)","24","0","7","6","0","0","11","0","8"
"모로코","여(F)","26","0","2","11","0","0","13","0","8"
"모리셔스","남(M)","1","0","1","0","0","0","0","0","0"
"모리셔스","여(F)","0","0","0","0","0","0","0","0","1"
"모리타니","남(M)","3","0","3","0","0","0","0","0","1"
"모리타니","여(F)","0","0","0","0","0","0","0","0","1"
"모잠비크","남(M)","2","0","1","1","0","0","0","0","1"
"모잠비크","여(F)","2","0","1","1","0","0","0","0","1"
"몰도바","남(M)","4","0","2","0","0","0","2","0","0"
"몰도바","여(F)","7","0","0","2","0","0","5","0","4"
"몰디브","남(M)","0","0","0","0","0","0","0","0","1"
"몰디브","여(F)","1","0","0","1","0","0","0","0","0"
"몽골","남(M)","911","61","400","356","82","0","12","0","570"
"몽골","여(F)","1806","82","554","965","158","0","47","0","879"
"미국","남(M)","470","7","89","174","21","2","177","0","87"
"미국","여(F)","376","3","51","64","3","0","255","0","68"
"미얀마","남(M)","80","0","14","38","26","0","2","0","49"
"미얀마","여(F)","130","0","47","59","22","0","2","0","33"
"바레인","남(M)","1","0","0","0","1","0","0","0","0"
"바레인","여(F)","0","0","0","0","0","0","0","0","0"
"방글라데시","남(M)","458","12","59","178","206","3","0","0","34"
"방글라데시","여(F)","69","1","3","31","34","0","0","0","9"
"베냉","남(M)","3","0","0","3","0","0","0","0","1"
"베냉","여(F)","0","0","0","0","0","0","0","0","0"
"베네수엘라","남(M)","6","0","3","2","0","0","1","0","3"
"베네수엘라","여(F)","1","0","1","0","0","0","0","0","5"
"베트남","남(M)","1491","158","330","610","374","1","18","0","499"
"베트남","여(F)","1175","91","367","459","153","1","104","0","595"
"벨기에","남(M)","14","0","0","3","0","0","11","0","6"
"벨기에","여(F)","7","0","0","1","0","0","6","0","8"
"벨로루시","남(M)","6","0","0","4","1","0","1","0","1"
"벨로루시","여(F)","9","0","1","3","1","0","4","0","4"
"벨리즈","남(M)","4","0","0","2","2","0","0","0","0"
"벨리즈","여(F)","2","0","0","1","1","0","0","0","3"
"보츠와나","남(M)","1","0","0","0","0","0","1","0","1"
"보츠와나","여(F)","0","0","0","0","0","0","0","0","0"
"볼리비아","남(M)","10","2","5","2","0","0","1","0","2"
"볼리비아","여(F)","5","0","4","1","0","0","0","0","4"
"부룬디","남(M)","14","0","2","8","3","0","1","0","1"
"부룬디","여(F)","6","0","4","2","0","0","0","0","0"
"부르키나파소","남(M)","1","0","0","1","0","0","0","0","0"
"부르키나파소","여(F)","0","0","0","0","0","0","0","0","1"
"부탄","남(M)","3","0","1","2","0","0","0","0","0"
"부탄","여(F)","2","0","1","1","0","0","0","0","1"
"불가리아","남(M)","8","0","4","1","1","0","2","0","4"
"불가리아","여(F)","15","0","6","6","1","0","2","0","9"
"브라질","남(M)","177","0","15","7","0","0","155","0","28"
"브라질","여(F)","78","0","5","4","1","0","68","0","21"
"브루나이","남(M)","11","0","2","0","0","0","9","0","2"
"브루나이","여(F)","41","0","4","3","1","0","33","0","2"
"사우디아라비아","남(M)","164","4","130","20","6","0","4","0","254"
"사우디아라비아","여(F)","12","0","3","9","0","0","0","0","49"
"세네갈","남(M)","14","0","2","10","2","0","0","0","10"
"세네갈","여(F)","5","0","2","3","0","0","0","0","2"
"세르비아","남(M)","0","0","0","0","0","0","0","0","1"
"세르비아","여(F)","2","0","0","2","0","0","0","0","2"
"소말리아","남(M)","0","0","0","0","0","0","0","0","0"
"소말리아","여(F)","1","0","1","0","0","0","0","0","0"
"솔로몬군도","남(M)","3","0","0","3","0","0","0","0","0"
"솔로몬군도","여(F)","2","0","0","2","0","0","0","0","0"
"수단","남(M)","19","1","3","8","7","0","0","0","5"
"수단","여(F)","2","0","0","2","0","0","0","0","0"
"스리랑카","남(M)","70","2","14","38","16","0","0","0","69"
"스리랑카","여(F)","43","0","13","23","7","0","0","0","50"
"스와질란드","남(M)","1","0","0","1","0","0","0","0","1"
"스와질란드","여(F)","1","0","1","0","0","0","0","0","0"
"스웨덴","남(M)","50","0","4","2","0","1","43","0","20"
"스웨덴","여(F)","32","0","2","1","1","0","28","0","26"
"스위스","남(M)","18","0","1","6","1","1","9","0","3"
"스위스","여(F)","12","0","1","3","2","0","6","0","3"
"스페인","남(M)","50","0","5","6","1","0","38","0","15"
"스페인","여(F)","38","0","2","4","0","1","31","0","16"
"슬로바크","남(M)","14","8","1","3","1","0","1","0","0"
"슬로바크","여(F)","7","2","1","1","1","0","2","0","4"
"슬로베니아","남(M)","0","0","0","0","0","0","0","0","0"
"슬로베니아","여(F)","6","0","1","1","0","0","4","0","0"
"시리아","남(M)","4","0","0","2","2","0","0","0","0"
"시리아","여(F)","0","0","0","0","0","0","0","0","0"
"시에라리온","남(M)","5","0","0","5","0","0","0","0","2"
"시에라리온","여(F)","0","0","0","0","0","0","0","0","1"
"싱가포르","남(M)","70","0","6","4","0","0","60","0","8"
"싱가포르","여(F)","156","0","21","18","1","2","114","0","45"
"아랍에미리트연합","남(M)","21","0","19","2","0","0","0","0","13"
"아랍에미리트연합","여(F)","2","0","1","1","0","0","0","0","2"
"아르메니아","남(M)","1","0","1","0","0","0","0","0","1"
"아르메니아","여(F)","5","0","1","3","1","0","0","0","1"
"아르헨티나","남(M)","5","0","3","2","0","0","0","0","3"
"아르헨티나","여(F)","4","0","3","0","1","0","0","0","1"
"아이티","남(M)","2","0","1","1","0","0","0","0","0"
"아이티","여(F)","0","0","0","0","0","0","0","0","0"
"아일랜드","남(M)","4","0","1","3","0","0","0","0","1"
"아일랜드","여(F)","1","0","0","1","0","0","0","0","0"
"아제르바이잔","남(M)","29","0","19","7","3","0","0","0","7"
"아제르바이잔","여(F)","19","0","3","13","1","0","2","0","6"
"아프가니스탄","남(M)","24","0","9","13","1","0","1","0","8"
"아프가니스탄","여(F)","4","0","1","3","0","0","0","0","2"
"알바니아","남(M)","0","0","0","0","0","0","0","0","1"
"알바니아","여(F)","1","0","0","1","0","0","0","0","3"
"알제리","남(M)","15","0","1","7","6","0","1","0","4"
"알제리","여(F)","4","0","0","3","1","0","0","0","3"
"앙골라","남(M)","13","0","12","1","0","0","0","0","5"
"앙골라","여(F)","7","0","6","1","0","0","0","0","2"
"에리트레아","남(M)","2","0","0","2","0","0","0","0","0"
"에리트레아","여(F)","0","0","0","0","0","0","0","0","0"
"에스토니아","남(M)","2","0","0","0","0","0","2","0","1"
"에스토니아","여(F)","4","0","2","0","0","0","2","0","0"
"에콰도르","남(M)","5","0","0","3","0","0","2","0","6"
"에콰도르","여(F)","9","0","3","5","0","0","1","0","6"
"에티오피아","남(M)","117","2","5","64","46","0","0","0","29"
"에티오피아","여(F)","30","0","11","18","1","0","0","0","8"
"엘살바도르","남(M)","10","0","5","4","1","0","0","0","1"
"엘살바도르","여(F)","5","0","1","4","0","0","0","0","4"
"영국","남(M)","61","1","8","19","3","0","30","0","16"
"영국","여(F)","40","0","4","4","0","0","32","0","11"
"영국외지민","남(M)","0","0","0","0","0","0","0","0","0"
"영국외지민","여(F)","0","0","0","0","0","0","0","0","1"
"예멘공화국","남(M)","20","0","5","10","5","0","0","0","5"
"예멘공화국","여(F)","1","0","0","1","0","0","0","0","4"
"오만","남(M)","0","0","0","0","0","0","0","0","2"
"오만","여(F)","0","0","0","0","0","0","0","0","0"
"오스트레일리아","남(M)","22","0","3","4","1","0","14","0","6"
"오스트레일리아","여(F)","24","1","2","1","1","1","18","0","17"
"오스트리아","남(M)","18","0","2","1","2","0","13","0","2"
"오스트리아","여(F)","16","0","1","1","0","0","14","0","3"
"온두라스","남(M)","3","0","0","2","0","0","1","0","2"
"온두라스","여(F)","5","0","0","5","0","0","0","0","0"
"요르단","남(M)","32","0","3","19","4","6","0","0","9"
"요르단","여(F)","6","0","0","5","0","0","1","0","1"
"우간다","남(M)","44","0","10","30","1","0","3","0","13"
"우간다","여(F)","13","0","2","11","0","0","0","0","1"
"우루과이","남(M)","1","0","0","1","0","0","0","0","0"
"우루과이","여(F)","0","0","0","0","0","0","0","0","2"
"우즈베키스탄","남(M)","343","20","120","158","28","1","16","0","247"
"우즈베키스탄","여(F)","125","4","57","38","12","0","14","0","56"
"우크라이나","남(M)","22","0","10","9","1","0","2","0","10"
"우크라이나","여(F)","31","1","7","11","3","0","9","0","15"
"이라크","남(M)","17","0","1","9","6","1","0","0","2"
"이라크","여(F)","7","0","2","5","0","0","0","0","0"
"이란","남(M)","142","0","14","32","88","8","0","0","9"
"이란","여(F)","63","0","12","23","28","0","0","0","9"
"이스라엘","남(M)","4","0","0","2","0","0","2","0","1"
"이스라엘","여(F)","3","0","0","1","0","0","2","0","6"
"이집트","남(M)","63","1","5","21","32","1","3","0","5"
"이집트","여(F)","28","0","9","13","2","1","3","0","5"
"이탈리아","남(M)","21","1","4","4","3","1","8","0","10"
"이탈리아","여(F)","21","0","6","1","0","1","13","0","16"
"인도","남(M)","632","13","17","125","451","5","21","0","41"
"인도","여(F)","181","1","4","57","107","0","12","0","16"
"인도네시아","남(M)","383","7","79","186","76","2","33","0","36"
"인도네시아","여(F)","436","9","159","160","39","0","69","0","107"
"일본","남(M)","335","7","121","66","36","8","97","0","101"
"일본","여(F)","1074","29","351","124","23","9","538","0","674"
"자메이카","남(M)","0","0","0","0","0","0","0","0","1"
"자메이카","여(F)","3","0","0","2","1","0","0","0","1"
"잠비아","남(M)","11","0","5","5","1","0","0","0","2"
"잠비아","여(F)","2","1","1","0","0","0","0","0","0"
"중국","남(M)","17262","1016","11325","3380","741","9","789","2","7221"
"중국","여(F)","22124","831","12296","5336","862","4","2794","1","6644"
"중앙아프리카공화국","남(M)","2","0","2","0","0","0","0","0","2"
"중앙아프리카공화국","여(F)","1","0","1","0","0","0","0","0","0"
"짐바브웨","남(M)","17","0","1","11","5","0","0","0","1"
"짐바브웨","여(F)","6","0","1","4","1","0","0","0","1"
"차드","남(M)","4","0","1","3","0","0","0","0","3"
"차드","여(F)","0","0","0","0","0","0","0","0","0"
"체코","남(M)","25","0","0","2","1","1","21","0","1"
"체코","여(F)","25","0","4","6","0","1","14","0","4"
"칠레","남(M)","9","0","1","7","0","0","1","0","1"
"칠레","여(F)","3","0","1","1","1","0","0","0","5"
"카메룬","남(M)","134","1","21","95","15","0","2","0","82"
"카메룬","여(F)","53","0","8","39","6","0","0","0","24"
"카자흐스탄","남(M)","128","0","87","27","1","0","13","0","36"
"카자흐스탄","여(F)","206","3","75","41","6","0","81","0","99"
"캄보디아","남(M)","176","1","52","99","14","1","9","0","30"
"캄보디아","여(F)","106","0","41","47","5","0","13","0","33"
"캐나다","남(M)","64","0","12","20","4","0","28","0","11"
"캐나다","여(F)","48","0","4","7","2","0","35","0","17"
"케냐","남(M)","69","0","28","34","2","0","5","0","17"
"케냐","여(F)","34","0","13","14","2","0","5","0","13"
"코스타리카","남(M)","3","0","1","2","0","0","0","0","5"
"코스타리카","여(F)","4","0","2","1","0","0","1","0","2"
"코트디부아르","남(M)","11","0","1","7","3","0","0","0","5"
"코트디부아르","여(F)","1","0","0","1","0","0","0","0","5"
"콜롬비아","남(M)","24","0","12","5","3","0","4","0","12"
"콜롬비아","여(F)","18","0","6","8","1","0","3","0","8"
"콩고","남(M)","2","0","1","0","1","0","0","0","2"
"콩고","여(F)","1","0","0","1","0","0","0","0","0"
"콩고민주공화국","남(M)","29","0","17","11","1","0","0","0","6"
"콩고민주공화국","여(F)","6","0","4","2","0","0","0","0","2"
"쿠바","남(M)","0","0","0","0","0","0","0","0","0"
"쿠바","여(F)","1","0","1","0","0","0","0","0","0"
"쿠웨이트","남(M)","1","0","0","0","1","0","0","0","0"
"쿠웨이트","여(F)","0","0","0","0","0","0","0","0","0"
"크로아티아","남(M)","3","0","1","0","0","0","2","0","0"
