순번,성별,생년,국적명,체류자격,학교명
1,남,1991,중국,학사과정,경북대학교
2,남,1991,중국,학사과정,나사렛대학교
3,남,1990,중국,대학부설 어학원 연수,동국대학교
4,남,1990,중국,학사과정,경희대학교
5,남,1991,중국,학사과정,목포대학교
6,남,1990,중국,학사과정,인하대학교
7,남,1990,사우디아라비아,대학부설 어학원 연수,경희대학교
8,여,1991,중국,학사과정,동국대학교
9,여,1991,몽골,학사과정,고려대학교
10,남,1991,중국,대학부설 어학원 연수,강남대학교
11,남,1991,중국,대학부설 어학원 연수,중앙신학대학원대학교
12,남,1991,중국,교환학생,상명대학교
13,남,1991,미국,학사과정,경희대학교국제캠퍼스
14,남,1991,중국,대학부설 어학원 연수,경기대학교
15,여,1991,중국,학사과정,영남대학교
16,여,1991,베트남,석사과정,
17,여,1991,중국,대학부설 어학원 연수,경북대학교
18,여,1991,중국,학사과정,우송대학교
19,여,1991,중국,학사과정,충남대학교
20,여,1991,중국,석사과정,동국대학교
21,여,1991,중국,대학부설 어학원 연수,중앙대학교
22,여,1991,말레이시아,교환학생,세종대학교
23,여,1991,중국,학사과정,강남대학교
24,여,1991,중국,학사과정,가천대학교
25,여,1991,중국,학사과정,우석대학교
26,여,1991,중국,대학부설 어학원 연수,경민대학교
27,남,1991,중국,학사과정,호서대학교
28,여,1991,중국,학사과정,중앙대학교
29,여,1991,중국,석사과정,서울대학교
30,여,1991,중국,석사과정,(학)연세대학교
31,여,1991,한국계중국인,학사과정,서울대학교
32,여,1991,중국,교환학생,동아대학교
33,여,1991,중국,교환학생,제주대학교
34,남,1991,중국,학사과정,제주대학교
35,남,1990,중국,석사과정,포항공과대학교
36,남,1990,중국,대학부설 어학원 연수,동아인재대학
37,남,1990,중국,학사과정,경기대학교
38,여,1991,중국,석사과정,경북대학교
39,여,1991,베트남,학사과정,계명대학교
40,여,1991,중국,학사과정,영진전문대학
41,여,1991,중국,대학부설 어학원 연수,충남대학교
42,여,1991,프랑스,교환학생,성균관대학교
43,여,1991,중국,학사과정,중앙대학교
44,여,1991,중국,대학부설 어학원 연수,대구가톨릭대학교
45,여,1991,중국,석사과정,중앙대학교
46,여,1991,말레이시아,교환학생,전남대학교
47,여,1991,중국,학사과정,숭실대학교
48,여,1991,중국,대학부설 어학원 연수,전북대학교
49,여,1991,몽골,대학부설 어학원 연수,전북과학대학교
50,남,1991,중국,학사과정,영남대학교
51,여,1991,중국,학사과정,경북대학교
52,여,1991,중국,학사과정,동국대학교
53,여,1991,중국,학사과정,경희대학교
54,여,1991,중국,학사과정,국민대학교
55,남,1991,몽골,학사과정,국립대학법인 인천대학교
56,남,1991,중국,학사과정,동국대학교
57,남,1991,중국,학사과정,배재대학교
58,남,1991,중국,학사과정,배재대학교
59,남,1991,중국,전문학사과정,동부산대학교
60,남,1991,중국,대학부설 어학원 연수,광주대학교
61,남,1991,중국,석사과정,경남과학기술대학교
62,남,1991,몽골,대학부설 어학원 연수,한국국제대학교
63,여,1991,중국,대학부설 어학원 연수,경희대학교
64,여,1991,중국,대학부설 어학원 연수,중앙대학교
65,여,1991,타이완,교환학생,건국대학교
66,여,1991,중국,교환학생,경남대학교
67,여,1990,몽골,학사과정,전북대학교
68,남,1990,중국,학사과정,계명대학교
69,남,1990,중국,학사과정,경북대학교
70,남,1990,중국,학사과정,동국대학교경주캠퍼스
71,여,1990,중국,석사과정,중앙대학교
72,남,1990,중국,학사과정,전주비전대학교
73,여,1991,중국,학사과정,국민대학교
74,여,1991,독일,교환학생,이화여자대학교
75,남,1991,중국,학사과정,건국대학교
76,남,1991,한국계중국인,전문학사과정,동의과학대학
77,여,1991,중국,대학부설 어학원 연수,대림대학
78,여,1990,중국,학사과정,경희대학교
79,여,1991,홍콩,학사과정,경희대학교
80,여,1991,중국,학사과정,가톨릭대학교(성심교정)
81,여,1991,중국,전문학사과정,제주관광대학
82,여,1991,중국,교환학생,경남대학교
83,여,1991,중국,학사과정,전주대학교
84,여,1991,중국,학사과정,경상대학교
85,남,1991,인도,박사과정,아주대학교
86,여,1991,중국,학사과정,관동대학교
87,여,1991,중국,대학부설 어학원 연수,경기대학교
88,여,1991,중국,학사과정,경기대학교
89,여,1991,중국,학사과정,경희대학교
90,여,1991,한국계중국인,학사과정,경희대학교
91,여,1991,중국,대학부설 어학원 연수,계명대학교
92,여,1991,중국,교환학생,경북대학교
93,남,1991,베트남,대학부설 어학원 연수,성산효대학원대학교
94,남,1991,베트남,대학부설 어학원 연수,경인여자대학
95,여,1991,중국,학사과정,숙명여자대학교
96,여,1991,중국,학사과정,동의대학교
97,여,1991,중국,학사과정,국립부경대학교
98,남,1991,아제르바이잔,학사과정,한양대학교
99,남,1991,타이,대학부설 어학원 연수,이화여자대학교
100,여,1991,중국,학사과정,영산대학교
101,여,1991,중국,학사과정,계명대학교
102,여,1991,중국,학사과정,안동대학교
103,여,1991,중국,학사과정,우석대학교
104,남,1991,중국,학사과정,경기대학교
105,여,1991,중국,학사과정,우송대학교
106,여,1991,중국,대학부설 어학원 연수,충남대학교
107,여,1991,중국,학사과정,건국대학교
108,여,1991,중국,교환학생,호남대학교
109,남,1991,중국,학사과정,순천향대학교(학)
110,여,1991,독일,교환학생,경희대학교국제캠퍼스
111,여,1991,중국,교환학생,성신여자대학교
112,여,1991,헝가리,대학부설 어학원 연수,한국외국어대학교
113,여,1991,중국,학사과정,국민대학교
114,여,1991,일본,학사과정,한세대학교
115,여,1991,타이완,교환학생,상명대학교
116,남,1991,중국,대학부설 어학원 연수,건국대학교
117,남,1991,중국,학사과정,국민대학교
118,남,1991,중국,학사과정,한양대학교
119,여,1991,중국,학사과정,한서대학교
120,여,1991,중국,학사과정,한서대학교
121,여,1991,러시아(연방),대학부설 어학원 연수,성균관대학교
122,남,1991,중국,학사과정,제주대학교
123,남,1991,중국,학사과정,중앙대학교
124,남,1991,중국,학사과정,목포대학교
125,여,1991,싱가포르,교환학생,고려대학교
126,여,1991,중국,학사과정,경희대학교
127,여,1991,카자흐스탄,학사과정,경희대학교
128,여,1991,일본,대학부설 어학원 연수,홍익대학교
129,여,1991,중국,교환학생,동덕여자대학교
130,남,1952,일본,대학부설 어학원 연수,영남대학교
131,남,1990,중국,대학부설 어학원 연수,한신대학교
132,남,1990,중국,석사과정,한양대학교
133,남,1990,중국,대학부설 어학원 연수,경기과학기술대학교
134,남,1990,중국,학사과정,배재대학교
135,남,1990,중국,학사과정,경북대학교
136,남,1990,중국,석사과정,원광대학교
137,남,1990,중국,대학부설 어학원 연수,김포대학교
138,남,1990,브라질,대학부설 어학원 연수,선문대학교
139,남,1990,중국,대학부설 어학원 연수,김천과학대학
140,남,1990,중국,학사과정,영남대학교
141,남,1990,베트남,석사과정,과학기술연합대학원대학교
142,남,1990,일본,학사과정,(학)연세대학교
143,남,1990,중국,학사과정,선문대학교
144,남,1990,중국,석사과정,한국기술교육대학교
145,남,1990,터키,석사과정,한국과학기술원
146,여,1991,베트남,석사과정,중앙대학교
147,여,1991,멕시코,교환학생,한국외국어대학교
148,여,1991,일본,학사과정,고려대학교
149,남,1991,중국,학사과정,경희대학교의과대학
150,남,1990,중국,석사과정,중앙대학교
151,여,1990,중국,대학부설 어학원 연수,숭실대학교
152,여,1990,중국,대학부설 어학원 연수,안양대학교
153,여,1990,중국,대학부설 어학원 연수,숙명여자대학교
154,여,1990,중국,학사과정,국민대학교
155,여,1990,홍콩,학사과정,한양대학교
156,여,1991,중국,대학부설 어학원 연수,아주대학교
157,남,1990,중국,학사과정,경희대학교
158,여,1990,베트남,학사과정,전북대학교
159,여,1990,중국,학사과정,우석대학교
160,여,1991,중국,대학부설 어학원 연수,가천대학교
161,여,1991,중국,대학부설 어학원 연수,인하대학교
162,여,1991,파키스탄,대학부설 어학원 연수,계명대학교
163,여,1991,중국,학사과정,숭실대학교
164,남,1991,중국,대학부설 어학원 연수,충남대학교
165,남,1991,중국,대학부설 어학원 연수,전주대학교
166,남,1991,중국,전문학사과정,경산1대학교
167,여,1991,말레이시아,학사과정,서울대학교
168,여,1991,중국,학사과정,홍익대학교
169,여,1991,중국,대학부설 어학원 연수,인제대학교
170,남,1991,방글라데시,석사과정,울산대학교
171,남,1991,중국,교환학생,청주대학교
172,남,1991,터키,학사과정,부산대학교
173,남,1991,중국,교환학생,동아대학교
174,남,1991,중국,학사과정,경일대학교
175,남,1991,중국,석사과정,동국대학교
176,남,1991,중국,학사과정,(학)연세대학교
177,여,1991,중국,전문학사과정,중앙대학교
178,여,1991,베트남,대학부설 어학원 연수,경남과학기술대학교
179,여,1991,중국,학사과정,서울시립대학교
180,여,1991,중국,학사과정,금오공과대학교
181,여,1991,중국,교환학생,공주대학교
182,남,1947,미국,박사과정,평택대학교
183,여,1990,중국,학사과정,상명대학교
184,여,1991,중국,학사과정,울산대학교
185,남,1990,체코,교환학생,서강대학교
186,여,1990,베트남,학사과정,동의대학교
187,여,1990,중국,대학부설 어학원 연수,건국대학교
