순번,성별,생년,국적명,체류자격,학교명
1,여,1972,일본,박사과정,한국학중앙연구원한국학대학원
2,남,1975,나이지리아,석사과정,한영신학대학교
3,여,1976,우즈베키스탄,석사과정,숙명여자대학교
4,남,1974,이집트,교환학생,아주대학교
5,여,1972,중국,석사과정,한동대학교
6,남,1970,라이베리아,학사과정,나사렛대학교
7,남,1970,중국,박사과정,원광대학교
8,남,1972,필리핀,대학부설 어학원 연수,한양대학교
9,남,1975,베트남,박사과정,숭실대학교
10,여,1975,싱가포르,대학부설 어학원 연수,연세대학교
11,남,1975,감비아,석사과정,전남대학교언어교육원
12,남,1967,나이지리아,석사과정,한영신학대학교
13,남,1972,수단,박사과정,충남대학교
14,여,1972,몽골,대학부설 어학원 연수,개신대학원대학교
15,여,1974,인도네시아,박사과정,인하대학교
16,남,1975,가나,석사과정,영남대학교
17,여,1972,네팔,박사과정,부산대학교
18,여,1974,일본,박사과정,경희대학교
19,여,1972,이집트,석사과정,전남대학교
20,여,1974,필리핀,석사과정,영남대학교
21,여,1975,중국,박사과정,전주대학교
22,남,1970,중국,석사과정,강원대학교삼척캠퍼스
23,남,1970,베트남,박사과정,장로회신학대학교
24,남,1974,베트남,박사과정,세종대학교
25,남,1970,프랑스,박사과정,서울대학교
26,남,1972,몽골,박사과정,고려대학교
27,남,1968,인도네시아,박사과정,연세대학교원주캠퍼스
28,남,1966,미국,대학부설 어학원 연수,단국대학교
29,남,1975,스리랑카,대학부설 어학원 연수,계명대학교
30,여,1974,타이,박사과정,세종대학교
31,남,1972,파키스탄,석사과정,영남대학교
32,여,1972,파키스탄,석사과정,세종대학교
33,여,1976,카메룬,학사과정,나사렛대학교
34,여,1974,몽골,전문학사과정,제주한라대학교
35,남,1970,필리핀,대학부설 어학원 연수,한성대학교
36,남,1975,필리핀,박사과정,그리스도대학교
37,남,1975,필리핀,석사과정,국제신학대학원대학교
38,남,1974,파키스탄,박사과정,배재대학교
39,여,1976,몽골,석사과정,한반도국제대학원대학교
40,여,1972,몽골,박사과정,충남대학교
41,남,1976,파키스탄,박사과정,(학)연세대학교
42,남,1972,코트디부아르,박사과정,선문대학교
43,여,1970,몽골,석사과정,인제대학교
44,남,1974,케냐,박사과정,서울대학교
45,남,1972,필리핀,박사과정,횃불트리니티신학대학원대학교
46,여,1976,중국,박사과정,경상대학교
47,여,1974,한국계러시아인,석사과정,침례신학대학교
48,여,1975,미얀마,석사과정,한일장신대학교
49,여,1974,몽골,석사과정,웨스트민스터신학대학원대학교
50,여,1976,일본,박사과정,고려대학교
51,남,1972,인도네시아,대학부설 어학원 연수,한국외국어대학교
52,여,1976,몽골,석사과정,한성대학교
53,남,1976,르완다,석사과정,한국외국어대학교
54,여,1975,인도,박사과정,이화여자대학교
55,남,1974,파키스탄,박사과정,과학기술연합대학원대학교
56,남,1972,일본,학사과정,부산대학교
57,여,1972,필리핀,대학부설 어학원 연수,경희대학교국제캠퍼스
58,여,1976,몽골,박사과정,강원대학교
59,남,1972,미얀마,박사과정,그리스도대학교
60,남,1975,가나,석사과정,한국과학기술원
61,여,1967,타이완,대학부설 어학원 연수,서울대학교
62,남,1972,나이지리아,석사과정,성균관대학교
63,남,1976,파키스탄,석사과정,한남대학교
64,여,1970,몽골,박사과정,경상대학교
65,남,1963,중국,대학부설 어학원 연수,고려대학교
66,남,1970,러시아(연방),대학부설 어학원 연수,선문대학교
67,여,1970,몽골,박사과정,서울대학교
68,여,1963,잠비아,석사과정,청심신학대학원대학교
69,남,1969,우간다,학사과정,나사렛대학교
70,여,1970,필리핀,전문학사과정,전주비전대학교
71,남,1970,파키스탄,박사과정,아세아연합신학대학교
72,여,1967,말레이시아,석사과정,청심신학대학원대학교
73,남,1969,네팔,대학부설 어학원 연수,중앙신학대학원대학교
74,남,1965,일본,대학부설 어학원 연수,고려대학교
75,여,1969,몽골,석사과정,인하대학교
76,남,1970,미얀마,대학부설 어학원 연수,한양대학교
77,남,1967,스리랑카,석사과정,감리교신학대학교
78,남,1969,필리핀,대학부설 어학원 연수,한성대학교
79,남,1969,네팔,박사과정,아세아연합신학대학교
80,남,1966,스리랑카,석사과정,아세아연합신학대학교
81,남,1966,미얀마,대학부설 어학원 연수,성공회대학교
82,여,1968,스리랑카,석사과정,인제대학교
83,여,1968,몽골,박사과정,한남대학교
84,남,1966,독일,대학부설 어학원 연수,(학)연세대학교
85,남,1967,터키,대학부설 어학원 연수,한양대학교
86,남,1967,요르단,대학부설 어학원 연수,합동군사대학교
87,여,1985,중국,석사과정,한국교통대학교
88,남,1985,우즈베키스탄,대학부설 어학원 연수,대경대학
89,남,1985,몽골,박사과정,연세대학교원주캠퍼스
90,남,1985,중국,석사과정,부산외국어대학교
91,여,1985,몽골,석사과정,순천향대학교(학)
92,여,1985,일본,대학부설 어학원 연수,서강대학교
93,여,1986,중국,대학부설 어학원 연수,고려대학교
94,여,1985,인도네시아,석사과정,성공회대학교
95,여,1986,몽골,석사과정,인제대학교
96,여,1986,미얀마,석사과정,한동대학교
97,남,1985,네팔,박사과정,선문대학교
98,여,1986,중국,석사과정,한림국제대학원대학교
99,남,1986,인도,박사과정,성균관대학교
100,남,1986,미국,석사과정,성균관대학교
101,남,1986,한국계중국인,전문학사과정,순천제일대학
102,여,1985,중국,석사과정,경상대학교
103,남,1985,중국,학술연구기관 특정연구자,한국과학기술원
104,남,1985,베트남,박사과정,한국과학기술원
105,남,1985,우즈베키스탄,대학부설 어학원 연수,대한신학대학원대학교
106,남,1986,베트남,대학부설 어학원 연수,서라벌대학
107,남,1985,네팔,석사과정,영남대학교
108,남,1985,몽골,석사과정,한성대학교
109,남,1985,중국,대학부설 어학원 연수,광운대학교
110,여,1985,라오스,석사과정,강원대학교
111,여,1985,중국,대학부설 어학원 연수,서울대학교
112,남,1985,벨로루시,석사과정,국민대학교
113,여,1986,중국,석사과정,전북대학교
114,여,1985,르완다,석사과정,국립암센터
115,여,1985,중국,석사과정,국제신학대학원대학교
116,남,1985,인도,박사과정,경상대학교
117,남,1986,중국,석사과정,건국대학교
118,남,1985,우즈베키스탄,대학부설 어학원 연수,경상대학교
119,여,1985,인도,박사과정,인하대학교
120,여,1985,인도,박사과정,한국과학기술원
121,남,1985,파키스탄,박사과정,한국과학기술원
122,남,1986,카메룬,석사과정,아주대학교
123,남,1986,타이완,석사과정,고려대학교
124,남,1985,베트남,전문학사과정,대구공업대학교
125,남,1985,인도,대학부설 어학원 연수,배재대학교
126,남,1986,인도,박사과정,
127,여,1985,몽골,대학부설 어학원 연수,신한대학교
128,여,1986,타이완,대학부설 어학원 연수,(학)연세대학교
129,남,1985,중국,전문학사과정,강원도립대학
130,남,1986,중국,박사과정,공주대학교
131,여,1986,몽골,석사과정,(학)연세대학교
132,여,1985,중국,석사과정,서울신학대학교
133,여,1986,중국,대학부설 어학원 연수,한민학교
134,남,1985,중국,대학부설 어학원 연수,가톨릭상지대학
135,여,1986,중국,전문학사과정,김천과학대학
136,여,1986,중국,박사과정,과학기술연합대학원대학교
137,여,1986,중국,학사과정,배재대학교
138,남,1985,파키스탄,박사과정,창원대학교
139,남,1984,중국,대학부설 어학원 연수,예원예술대학교
140,남,1982,방글라데시,석사과정,한남대학교
141,남,1984,몽골,대학부설 어학원 연수,개신대학원대학교
142,여,1985,일본,박사과정,중앙대학교
143,남,1985,중국,석사과정,경희대학교
144,여,1985,중국,박사과정,성균관대학교
145,남,1986,사우디아라비아,석사과정,한양대학교
146,남,1986,몽골,석사과정,경희대학교국제캠퍼스
147,남,1985,방글라데시,박사과정,경북대학교
148,남,1986,몽골,석사과정,대구대학교
149,남,1985,베트남,학사과정,부산외국어대학교
150,여,1985,베트남,전문학사과정,대경대학
151,여,1985,중국,대학부설 어학원 연수,중앙신학대학원대학교
152,여,1985,중국,학사과정,한양대학교
153,남,1986,베트남,학사과정,건동대학교
154,남,1985,싱가포르,석사과정,고려대학교
155,여,1986,중국,대학부설 어학원 연수,한양대학교
156,여,1985,일본,학술연구기관 특정연구자,서울대학교
157,여,1986,중국,박사과정,충북대학교
158,남,1986,중국,석사과정,경북대학교상주캠퍼스
159,남,1985,베트남,박사과정,한국과학기술원
160,남,1985,타이,박사과정,경희대학교국제캠퍼스
161,남,1985,중국,박사과정,원광대학교
162,남,1985,중국,학사과정,예원예술대학교
163,남,1986,중국,박사과정,충남대학교
164,남,1985,파키스탄,박사과정,경상대학교
165,남,1985,파키스탄,박사과정,한국과학기술원
166,남,1985,중국,석사과정,남부대학교
167,남,1985,파키스탄,석사과정,성균관대학교
168,남,1985,베트남,석사과정,성균관대학교
169,남,1986,중국,석사과정,인제대학교
170,여,1985,말레이시아,석사과정,광주과학기술원
171,여,1985,몽골,대학부설 어학원 연수,한양대학교국제어학원
172,남,1985,중국,석사과정,경희대학교
173,여,1982,미얀마,석사과정,서울대학교
174,남,1983,에티오피아,석사과정,아주대학교
175,남,1982,터키,학사과정,한국외국어대학교
176,남,1982,베트남,학사과정,가톨릭대학교성신교정
177,남,1985,파키스탄,박사과정,중앙대학교
178,여,1986,인도네시아,박사과정,부산대학교
179,남,1985,베트남,박사과정,울산대학교
180,남,1985,핀란드,교환학생,성균관대학교
181,여,1985,몽골,석사과정,개신대학원대학교
182,여,1985,베트남,석사과정,국민대학교
183,여,1985,베트남,학사과정,광주여자대학교
184,남,1986,중국,석사과정,서울신학대학교
185,남,1986,아프가니스탄,석사과정,전북대학교
186,여,1986,파키스탄,박사과정,전남대학교
187,남,1985,베트남,전문학사과정,대구과학대학교
188,남,1986,키르기스스탄,석사과정,전남대학교
189,남,1986,인도네시아,박사과정,한국외국어대학교
190,남,1985,인도네시아,석사과정,울산과학기술대학교
191,남,1986,중국,석사과정,경희대학교
192,여,1986,중국,석사과정,건국대학교
193,여,1986,중국,석사과정,한양대학교
194,여,1985,중국,박사과정,목포대학교
195,남,1985,우즈베키스탄,학사과정,김천대학교
196,남,1985,인도,박사과정,경희대학교국제캠퍼스
197,여,1986,중국,석사과정,동국대학교
198,남,1986,중국,박사과정,중앙대학교
199,남,1985,베트남,전문학사과정,성덕대학
200,여,1985,중국,석사과정,아주대학교
201,여,1985,아랍에미리트연합,석사과정,고려대학교
202,남,1985,중국,학사과정,경일대학교
203,남,1985,네팔,박사과정,영남대학교
204,남,1985,중국,석사과정,경희대학교국제캠퍼스
205,남,1985,미국,석사과정,동국대학교
206,남,1986,베트남,석사과정,목포해양대학교
207,여,1985,베트남,대학부설 어학원 연수,충청대학교
208,남,1985,카메룬,학사과정,경기대학교
209,남,1984,중국,박사과정,경북대학교
210,남,1982,미얀마,석사과정,한영신학대학교
211,남,1983,콩고민주공화국,석사과정,강남대학교
212,남,1984,베트남,박사과정,동의대학교
213,여,1985,중국,석사과정,가천대학교
214,남,1982,베트남,박사과정,동국대학교
215,여,1985,중국,석사과정,공주대학교
216,남,1985,한국계중국인,전문학사과정,서라벌대학
217,여,1985,미얀마,박사과정,경희대학교
218,남,1985,베트남,박사과정,동국대학교
219,남,1985,중국,석사과정,고려대학교
220,여,1985,중국,박사과정,세한대학교
221,여,1985,몽골,석사과정,목포대학교
222,남,1985,인도,박사과정,경상대학교
223,남,1985,필리핀,박사과정,한국과학기술원
224,여,1986,중국,학사과정,초당대학교
225,남,1986,중국,전문학사과정,원광보건대학교
226,남,1986,중국,석사과정,청심신학대학원대학교
227,남,1985,미얀마,대학부설 어학원 연수,국립대학법인 인천대학교
228,여,1985,일본,대학부설 어학원 연수,영남대학교
229,남,1985,중국,박사과정,경기대학교
230,남,1985,중국,대학부설 어학원 연수,두원공과대학
231,남,1985,베트남,석사과정,국립부경대학교
