성별,연령대,국적명,체류자격,학교명
여,1990년대생,중국,전문학사,영진전문대학
여,1990년대생,중국,학사유학,목원대학교
여,1990년대생,중국,학사유학,우송대학교
여,1990년대생,중국,학사유학,세종대학교
여,1990년대생,몽골,대학부설어학원연수,연세대학교원주캠퍼스
남,1990년대생,베트남,대학부설어학원연수,경기과학기술대학교
여,1990년대생,중국,학사유학,가천대학교
남,1990년대생,핀란드,교환학생,동국대학교
남,1990년대생,베트남,대학부설어학원연수,인덕대학교
남,1990년대생,홍콩,대학부설어학원연수,명지대학교
여,1990년대생,몽골,학사유학,경희대학교
여,1990년대생,몽골,학사유학,경희대학교
여,1990년대생,중국,학사유학,영산대학교
여,1990년대생,베트남,대학부설어학원연수,숭실대학교
여,1990년대생,몽골,석사유학,한국과학기술원
여,1990년대생,중국,학사유학,영산대학교
여,1990년대생,중국,교환학생,동아대학교
여,1990년대생,중국,학사유학,부산대학교
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,중국,학사유학,계명대학교
여,1990년대생,중국,학사유학,청주대학교
여,1990년대생,중국,학사유학,한서대학교
여,1990년대생,중국,대학부설어학원연수,고려대학교
여,1990년대생,중국,학사유학,호남대학교
여,1990년대생,중국,교환학생,전북대학교
여,1990년대생,몽골,학사유학,이화여자대학교
여,1990년대생,중국,학사유학,청주대학교
여,1990년대생,러시아(연방),교환학생,제주대학교
여,1990년대생,중국,학사유학,대구한의대학교
여,1990년대생,중국,교환학생,공주대학교
여,1990년대생,타이완,교환학생,한밭대학교
여,1990년대생,중국,학사유학,호남대학교
여,1990년대생,중국,석사유학,경상대학교
여,1990년대생,중국,학사유학,영남대학교
여,1990년대생,중국,학사유학,강원대학교
여,1990년대생,중국,학사유학,광주대학교
여,1990년대생,중국,학사유학,우석대학교
여,1990년대생,중국,학사유학,경희대학교
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,베트남,대학부설어학원연수,중앙신학대학원대학교
남,1990년대생,우즈베키스탄,학사유학,울산과학기술대학교
여,1990년대생,중국,대학부설어학원연수,경희대학교
여,1990년대생,프랑스,교환학생,성균관대학교
여,1990년대생,중국,교환학생,전주대학교
여,1990년대생,중국,학사유학,명지대학교
여,1990년대생,사우디아라비아,대학부설어학원연수,이화여자대학교
여,1990년대생,홍콩,대학부설어학원연수,(학)연세대학교
남,1990년대생,중국,학사유학,영산대학교
남,1990년대생,중국,전문학사,부산과학기술대학교
남,1990년대생,중국,교환학생,광운대학교
여,1990년대생,중국,학사유학,이화여자대학교
여,1990년대생,몽골,학사유학,한양대학교
여,1990년대생,중국,대학부설어학원연수,한양대학교
남,1990년대생,중국,전문학사,대구공업대학교
남,1990년대생,중국,학사유학,중부대학교
여,1990년대생,베트남,교환학생,서울여자대학교
여,1990년대생,중국,대학부설어학원연수,고려대학교
여,1990년대생,중국,대학부설어학원연수,고려대학교
여,1990년대생,중국,대학부설어학원연수,고려대학교
여,1990년대생,베트남,학사유학,상명대학교
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,중국,학사유학,부산대학교
여,1990년대생,중국,교환학생,계명대학교
여,1990년대생,중국,학사유학,건양대학교
여,1990년대생,중국,교환학생,호남대학교
남,1990년대생,타이,대학부설어학원연수,한세대학교
남,1990년대생,중국,대학부설어학원연수,을지대학교
남,1990년대생,중국,학사유학,가천대학교
남,1990년대생,중국,학사유학,부산대학교
남,1990년대생,카메룬,학사유학,경기대학교
남,1990년대생,몽골,학사유학,고려대학교
여,1990년대생,타이완,학사유학,한양대학교
여,1990년대생,중국,대학부설어학원연수,단국대학교
여,1990년대생,중국,석사유학,성균관대학교
여,1990년대생,중국,학사유학,호남대학교
여,1990년대생,중국,석사유학,광주여자대학교
여,1990년대생,중국,학사유학,우석대학교
여,1990년대생,중국,석사유학,포항공과대학교
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,중국,학사유학,성균관대학교
남,1990년대생,중국,학사유학,경북대학교
남,1990년대생,중국,교환학생,우송대학교
여,1990년대생,몽골,학사유학,서울대학교
여,1990년대생,중국,교환학생,부산외국어대학교
여,1990년대생,중국,전문학사,김포대학교
여,1990년대생,중국,대학부설어학원연수,홍익대학교
남,1990년대생,미국,교환학생,한양대학교
남,1990년대생,중국,학사유학,동명대학교
남,1990년대생,중국,학사유학,경상대학교
남,1990년대생,중국,대학부설어학원연수,전주대학교
남,1990년대생,중국,학사유학,계명대학교
여,1990년대생,중국,학사유학,제주대학교
여,1990년대생,중국,학사유학,영남대학교
여,1990년대생,중국,학사유학,우송대학교
여,1990년대생,중국,교환학생,배재대학교
여,1990년대생,중국,석사유학,충남대학교
여,1990년대생,베트남,석사유학,충남대학교
남,1990년대생,중국,학사유학,우송대학교
남,1990년대생,중국,학사유학,협성대학교
남,1990년대생,중국,학사유학,순천향대학교(학)
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,중국,학사유학,국민대학교
남,1990년대생,중국,학사유학,동국대학교
남,1990년대생,베트남,대학부설어학원연수,경기대학교
남,1990년대생,베트남,대학부설어학원연수,한국외국어대학교
여,1990년대생,몽골,학사유학,원광대학교
여,1990년대생,에티오피아,석사유학,연세대학교원주캠퍼스
여,1990년대생,중국,교환학생,
여,1990년대생,중국,학사유학,평택대학교
여,1990년대생,중국,학사유학,경희대학교국제캠퍼스
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,베트남,학사유학,상명대학교
여,1990년대생,중국,학사유학,한국외국어대학교
여,1990년대생,중국,교환학생,경상대학교
남,1990년대생,가나,학사유학,울산과학기술대학교
남,1990년대생,중국,학사유학,한양대학교
남,1990년대생,중국,학사유학,상명대학교
남,1990년대생,중국,전문학사,부산과학기술대학교
남,1990년대생,중국,대학부설어학원연수,중앙신학대학원대학교
남,1990년대생,스웨덴,교환학생,한양대학교
여,1990년대생,프랑스,교환학생,서울대학교
여,1990년대생,베트남,대학부설어학원연수,서울대학교
여,1990년대생,중국,학사유학,부산대학교
여,1990년대생,중국,석사유학,부산대학교
여,1990년대생,중국,전문학사,인하공업전문대학
남,1990년대생,중국,석사유학,영산대학교
여,1990년대생,중국,학사유학,고려대학교
남,1990년대생,일본,학사유학,성균관대학교
남,1990년대생,인도네시아,석사유학,국립부경대학교
남,1990년대생,중국,학사유학,한양대학교
남,1990년대생,몽골,대학부설어학원연수,한국산업기술대학교
여,1990년대생,중국,학사유학,한양대학교
남,1990년대생,중국,학사유학,청주대학교
남,1990년대생,중국,교환학생,청운대학교
남,1990년대생,중국,학사유학,세한대학교
여,1990년대생,중국,학사유학,서강대학교
여,1990년대생,베트남,석사유학,충남대학교
여,1990년대생,몽골,학사유학,우석대학교
여,1990년대생,몽골,학사유학,서울시립대학교
남,1990년대생,중국,학사유학,부산대학교
남,1990년대생,몽골,학사유학,전북대학교
여,1990년대생,중국,학사유학,경성대학교
여,1990년대생,중국,학사유학,국립부경대학교
여,1990년대생,중국,학사유학,인하대학교
여,1990년대생,중국,학사유학,대구가톨릭대학교
여,1990년대생,중국,교환학생,대진대학교
여,1990년대생,핀란드,교환학생,서울대학교
여,1990년대생,중국,석사유학,중앙대학교
여,1990년대생,중국,대학부설어학원연수,가천대학교
여,1990년대생,중국,학사유학,건국대학교
여,1990년대생,중국,학사유학,동명대학교
여,1990년대생,중국,석사유학,(학)연세대학교
여,1990년대생,말레이시아,학사유학,대전대학교
남,1990년대생,중국,학사유학,상명대학교
남,1990년대생,몽골,학사유학,고려대학교
남,1990년대생,중국,학사유학,건국대학교
남,1990년대생,중국,석사유학,부산대학교
남,1990년대생,중국,석사유학,계명대학교
남,1990년대생,중국,학사유학,국립대학법인 인천대학교
남,1990년대생,중국,학사유학,중부대학교
남,1990년대생,베트남,대학부설어학원연수,위덕대학교
여,1990년대생,중국,학사유학,충북대학교
여,1990년대생,중국,학사유학,목포대학교
여,1990년대생,중국,대학부설어학원연수,경희대학교국제캠퍼스
여,1990년대생,라오스,석사유학,국제법률경영대학원대학교
남,1990년대생,중국,전문학사,영진전문대학
남,1990년대생,베트남,학사유학,공주대학교
남,1990년대생,베트남,석사유학,우송대학교
남,1990년대생,베트남,대학부설어학원연수,조선대학교
